id,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded,code,month
5,Образование,6215800341.0,6358191391.2,5822515713.1,2263428304.1,4815897849.1,2250578184.085,3380167816.118,1129589632.033,99.43227183331926,38.65302036062271,0,True,True,False,4.0,05.2023
6,Здравоохранение,2335291942.0,2527046015.0,2483448603.2,941606146.9,1232597237.2,938315913.183,1074061501.642,135745588.459,99.65057219222365,37.78277963852165,0,True,True,False,5.0,05.2023
7,Социальная помощь и социальное обеспечение,5312107080.4,5379581297.0,5366319269.9,2174827101.8,2489380351.8,2172028511.439,2234463833.693,62435322.25399971,99.87131894950713,40.47520101202394,0,True,True,False,6.0,05.2023
8,Жилищно-коммунальное хозяйство,1560204086.7,2432726422.3,1878714617.0,444299097.2,1752705044.6,430508571.172,1052129803.898,621621232.7260001,96.89611657666902,22.915059438854623,0,True,True,False,7.0,05.2023
9,"Культура, спорт, туризм и информационное пространство",751543684.3,856358807.5,851132238.2,309005924.0,716623210.9,303977217.1,533002132.674,229024915.574,98.372617963143,35.71445228568244,0,True,True,False,8.0,05.2023
10,Топливно-энергетический комплекс и недропользование,205358597.0,425188029.0,339642178.9,121317835.0,325875980.9,116363068.063,278142648.288,161779580.225,95.91587919698699,34.26048803475039,0,True,True,False,9.0,05.2023
11,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",1060562656.2,1324461819.0,1286666859.5,481920358.2,934946476.5,473896393.885,626653494.589,152757100.704,98.33500200220428,36.831320429684226,0,True,True,False,10.0,05.2023
12,"Промышленность, архитектурная, градостроительная и строительная деятельность",209537558.9,272572068.8,265261033.7,63448295.4,236201256.9,62807470.28,93420153.912,30612683.632,98.99000419796936,23.677608958967124,0,True,True,False,11.0,05.2023
13,Транспорт и коммуникации,1474838899.8,1926730230.1,1738239524.4,494752094.9,1485089775.8,490618299.858,1095266782.843,604648482.9849999,99.1644714424432,28.225011166245917,0,True,True,False,12.0,05.2023
14,Прочие,1972941131.1,2080173988.9,1833257544.5,859802286.2,1393690134.7,852227975.607,1111070877.658,258842902.051,99.11906368306188,46.4870840523084,0,True,True,False,13.0,05.2023
15,Обслуживание долга,1819380632.0,1901826309.0,1901826309.0,972475436.5,987108866.2,972475367.08,972475367.08,0.0,99.99999286151636,51.13376350290041,0,True,True,False,14.0,05.2023
16,Погашение займов,2711191578.0,2713082132.7,2713082132.7,1057920462.3,1104799320.0,1057920460.957,1057920460.957,0.0,99.99999987305284,38.993307582037,0,True,True,False,16.0,05.2023
1,Итого,29330118273.0,32557423930.3,30849845680.0,14233536064.6,21632666362.9,14143580365.906,17834484120.882,3690903754.976,99.36800175103552,45.84651901541052,0,True,True,False,,06.2023
2,Государственные услуги общего характера,1238576525.2,1400741826.8,1449795675.5,667398537.8,1034917673.2,652238806.183,828739659.392,176500853.209,97.7285338881664,44.98832609347233,0,True,True,False,1.0,06.2023
3,Оборона,1099024059.4,1230992018.9,1228007790.6,587224291.0,811212349.2,576168879.244,711614682.92,135445803.676,98.11734427110066,46.91899218021134,0,True,True,False,2.0,06.2023
4,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1363759501.0,1585779674.4,1583522891.2,642408313.7,1077159312.2,620623018.669,775966097.04,155343078.37099993,96.60880867099524,39.19255112243369,0,True,True,False,3.0,06.2023
5,Образование,6215800341.0,6380979602.6,5852312816.8,2947824928.3,5063407001.6,2940529391.602,3956808628.491,1016279236.8889999,99.75251119467914,50.24559492378364,0,True,True,False,4.0,06.2023
6,Здравоохранение,2335291942.0,2533467580.0,2487026359.5,1126999144.4,1403388211.4,1126421271.869,1256937426.446,130516154.57700014,99.9487246699457,45.29189116015077,0,True,True,False,5.0,06.2023
7,Социальная помощь и социальное обеспечение,5312107080.4,5383896222.7,5369403944.1,2619018383.2,2893427630.1,2618486800.512,2674296734.022,55809933.50999975,99.97970297988707,48.76680592059462,0,True,True,False,6.0,06.2023
8,Жилищно-коммунальное хозяйство,1560204086.7,2487631225.0,1938600985.7,584697717.2,1834356889.6,578946983.07,1229434994.145,650488011.0749999,99.01646030746637,29.864164278290144,0,True,True,False,7.0,06.2023
9,"Культура, спорт, туризм и информационное пространство",751543684.3,863779860.3,857799857.9,383382554.5,746873840.6,377261955.218,588725437.77,211463482.552,98.4035269184373,43.980183925605196,0,True,True,False,8.0,06.2023
10,Топливно-энергетический комплекс и недропользование,205358597.0,426548543.1,340268803.7,139508901.2,338089854.5,137257046.147,298503500.726,161246454.579,98.3858699813199,40.337828403456435,0,True,True,False,9.0,06.2023
11,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",1060562656.2,1334604617.8,1292918920.3,571735361.0,978514554.6,562693671.139,710263083.695,147569412.556,98.41855332418386,43.52118777938809,0,True,True,False,10.0,06.2023
12,"Промышленность, архитектурная, градостроительная и строительная деятельность",209537558.9,273673669.3,267944753.2,173901087.0,240360152.0,173394439.029,199869933.353,26475494.32399997,99.7086573869432,64.71275774509176,0,True,True,False,11.0,06.2023
13,Транспорт и коммуникации,1474838899.8,1945838536.3,1751499599.6,655838216.1,1531024330.6,652697122.813,1224526714.314,571829591.5009999,99.52105668594933,37.26504550512374,0,True,True,False,12.0,06.2023
14,Прочие,1972941131.1,2094539933.9,1815792804.7,988501059.9,1455216716.5,981763470.869,1233699719.026,251936248.15700006,99.31840345910386,54.068033991973216,0,True,True,False,13.0,06.2023
15,Обслуживание долга,1819380632.0,1901868486.5,1901868344.5,1073333845.0,1104585052.8,1073333787.777,1073333787.777,0.0,99.99999466866714,56.4357564960249,0,True,True,False,14.0,06.2023
16,Погашение займов,2711191578.0,2713082132.7,2713082132.7,1071763724.3,1120132794.0,1071763721.765,1071763721.765,0.0,99.999999763474,39.503548707476995,0,True,True,False,16.0,06.2023
1,Итого,29330118273.0,32736422194.9,30990081666.5,17052555472.7,23763758656.5,16874154723.906,20378620040.966,3504465317.0599995,98.95381810028645,54.45017830381135,0,True,True,False,,07.2023
2,Государственные услуги общего характера,1238576525.2,1402315741.6,1472779256.8,795890053.5,1170264474.4,775634167.595,931446994.77,155812827.17499995,97.45493918212411,52.66465860473002,0,True,True,False,1.0,07.2023
3,Оборона,1099024059.4,1232704800.5,1239691014.3,658094605.4,864271164.7,645889038.74,773532959.2,127643920.46000004,98.14531732066376,52.10080828929019,0,True,True,False,2.0,07.2023
4,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1363759501.0,1590881995.4,1593189847.1,784836429.0,1213082547.0,744822977.771,914884207.786,170061230.015,94.90168272642705,46.75042206217685,0,True,True,False,3.0,07.2023
5,Образование,6215800341.0,6388691981.9,5850610670.8,3230412170.2,5131050751.2,3217945630.67,4122084397.089,904138766.4190001,99.61408826882831,55.00187607304905,0,True,True,False,4.0,07.2023
6,Здравоохранение,2335291942.0,2525228407.9,2477993221.0,1339759307.4,1589634147.4,1335934699.459,1455624627.846,119689928.38699985,99.71453022047504,53.91195940882682,0,True,True,False,5.0,07.2023
7,Социальная помощь и социальное обеспечение,5312107080.4,5412082195.4,5359980818.4,3047066902.0,3288268614.0,3044326312.944,3093730999.63,49404686.68600035,99.91005812658064,56.79733596234692,0,True,True,False,6.0,07.2023
8,Жилищно-коммунальное хозяйство,1560204086.7,2554404718.2,2017290018.9,776689510.3,1941678333.9,755826460.279,1472503927.612,716677467.333,97.31384938970767,37.46741684128996,0,True,True,False,7.0,07.2023
9,"Культура, спорт, туризм и информационное пространство",751543684.3,874894832.3,873351167.8,460322413.9,778813591.1,446151579.76,632008206.879,185856627.11899996,96.92154157345064,51.08501553663349,0,True,True,False,8.0,07.2023
10,Топливно-энергетический комплекс и недропользование,205358597.0,430530345.5,343849563.4,169958081.1,341737447.4,163513445.511,311418229.734,147904784.22300002,96.20810287613915,47.55377435823146,0,True,True,False,9.0,07.2023
11,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",1060562656.2,1360741873.1,1302978310.4,710191946.9,1075069330.2,690027532.359,820421854.423,130394322.06400001,97.16070920981039,52.95771440333256,0,True,True,False,10.0,07.2023
12,"Промышленность, архитектурная, градостроительная и строительная деятельность",209537558.9,265533834.3,269556285.0,183660873.0,243507150.6,182023120.79,204499484.33,22476363.54000002,99.10827375300563,67.5269436919269,0,True,True,False,11.0,07.2023
13,Транспорт и коммуникации,1474838899.8,1971215058.7,1779401207.4,872121271.3,1654247311.9,860126221.535,1392671642.313,532545420.778,98.62461217725834,48.337958744660334,0,True,True,False,12.0,07.2023
14,Прочие,1972941131.1,2115525220.6,1797739237.7,1074210009.7,1474696503.4,1062591698.961,1304450671.822,241858972.86100006,98.91843209110993,59.10710945601117,0,True,True,False,13.0,07.2023
15,Обслуживание долга,1819380632.0,1901749767.1,1901749625.1,1349521291.5,1360344128.4,1349521231.87,1349521231.87,0.0,99.99999558139612,70.96208744087635,0,True,True,False,14.0,07.2023
16,Погашение займов,2711191578.0,2709921422.4,2709921422.4,1599820607.5,1637093160.9,1599820605.662,1599820605.662,0.0,99.99999988511212,59.03568245329945,0,True,True,False,16.0,07.2023
1,Итого,29330118273.0,32953985214.4,31215598491.3,19521623388.5,25404580648.0,19283402855.567,22477114799.85,3193711944.282997,98.77970941149631,61.77489392343837,0,True,True,False,,08.2023
2,Государственные услуги общего характера,1238576525.2,1414535547.5,1499291568.7,915212381.1,1242440320.0,890505152.712,1051089749.874,160584597.16199994,97.30038306974123,59.39506172799569,0,True,True,False,1.0,08.2023
3,Оборона,1099024059.4,1234320569.1,1241979684.3,737415524.0,935071205.2,715733429.316,843905328.149,128171898.83300006,97.0597181672568,57.628432925567466,0,True,True,False,2.0,08.2023
4,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1363759501.0,1598314961.9,1600646806.8,922377089.5,1302255618.4,874618145.476,1048178744.02,173560598.54400003,94.82218882410781,54.64154501545093,0,True,True,False,3.0,08.2023
5,Образование,6215800341.0,6395812502.8,5885830724.3,3525782303.2,5252238971.8,3506076072.98,4307155626.665,801079553.685,99.4410820485963,59.568075216722725,0,True,True,False,4.0,08.2023
6,Здравоохранение,2335291942.0,2538650394.2,2489955753.3,1495615046.7,1729680015.0,1490398550.065,1605356889.537,114958339.47199988,99.65121395064125,59.856427090711875,0,True,True,False,5.0,08.2023
7,Социальная помощь и социальное обеспечение,5312107080.4,5431482868.6,5385037688.6,3496989443.1,3707535509.9,3493152811.182,3540164604.201,47011793.01900005,99.89028757505774,64.86775048161545,0,True,True,False,6.0,08.2023
8,Жилищно-коммунальное хозяйство,1560204086.7,2615360049.2,2074413220.7,962343468.7,2007217561.1,925867131.932,1599858464.074,673991332.1419998,96.20963429852392,44.63272421777041,0,True,True,False,7.0,08.2023
9,"Культура, спорт, туризм и информационное пространство",751543684.3,890901739.4,889342696.7,533509162.5,811281700.9,519062156.826,677919837.242,158857680.416,97.29207918261385,58.364695493878216,0,True,True,False,8.0,08.2023
10,Топливно-энергетический комплекс и недропользование,205358597.0,436079851.6,349193093.6,198110994.3,348450874.4,190736135.204,316126933.676,125390798.472,96.27741048796501,54.621966671107145,0,True,True,False,9.0,08.2023
11,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",1060562656.2,1362168575.2,1304422507.8,798483974.7,1083733666.2,782267642.902,900230600.924,117962958.02200007,97.96910992432969,59.97041895737824,0,True,True,False,10.0,08.2023
12,"Промышленность, архитектурная, градостроительная и строительная деятельность",209537558.9,266768520.0,271835243.8,196971075.4,247702415.4,194751747.515,216617316.052,21865568.537,98.87327218958768,71.6433030509784,0,True,True,False,11.0,08.2023
13,Транспорт и коммуникации,1474838899.8,2016148175.6,1816093365.6,1066438341.7,1719281309.7,1049080387.09,1506907858.254,457827471.1639999,98.37234334782733,57.76577388373452,0,True,True,False,12.0,08.2023
14,Прочие,1972941131.1,2148741373.2,1802856051.0,1205215005.4,1510383585.0,1183993971.172,1396443325.987,212449354.81500006,98.23923249105606,65.67323944223209,0,True,True,False,13.0,08.2023
15,Обслуживание долга,1819380632.0,1901587207.7,1901587207.7,1507518782.4,1514294545.8,1507518726.639,1507518726.639,0.0,99.9999963011406,79.27686516477821,0,True,True,False,14.0,08.2023
16,Погашение займов,2711191578.0,2703112878.4,2703112878.4,1959640795.8,1993013349.2,1959640794.556,1959640794.556,0.0,99.99999993651898,72.49570708700597,0,True,True,False,16.0,08.2023
1,Итого,29330118273.0,33015286648.1,31203382234.2,21646721745.9,26727287985.5,21527671297.746,24370794595.461,2843123297.715,99.45003012672554,68.99146745108585,0,True,True,False,,09.2023
2,Государственные услуги общего характера,1238576525.2,1417189184.0,1512202819.2,1011723772.7,1293013840.1,992328577.57,1132282639.417,139954061.847,98.08295548119426,65.62139449620727,0,True,True,False,1.0,09.2023
